"Date Reported","Project","Severity","Rule","Category","Line","File","Message"
"2026-03-29","GDC_Governance_2026","2","@lwc/lwc/no-async-operation",,"184","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/lwc/applicationDocumentSummaryNano/applicationDocumentSummaryNano.js","Restricted async operation ""setTimeout"""
"2026-03-29","GDC_Governance_2026","2","@lwc/lwc/no-async-operation",,"186","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/lwc/applicationDocumentSummaryNano/applicationDocumentSummaryNano.js","Restricted async operation ""setTimeout"""
"2026-03-29","GDC_Governance_2026","2","@lwc/lwc/no-async-operation",,"188","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/lwc/applicationDocumentSummaryNano/applicationDocumentSummaryNano.js","Restricted async operation ""setTimeout"""
"2026-03-29","GDC_Governance_2026","2","@lwc/lwc/no-async-operation",,"190","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/lwc/applicationDocumentSummaryNano/applicationDocumentSummaryNano.js","Restricted async operation ""setTimeout"""
"2026-03-29","GDC_Governance_2026","2","@lwc/lwc/no-async-operation",,"387","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/lwc/applicationDocumentSummaryNano/applicationDocumentSummaryNano.js","Restricted async operation ""setTimeout"""
"2026-03-29","GDC_Governance_2026","2","@lwc/lwc/no-async-operation",,"618","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/lwc/applicationDocumentSummaryNano/applicationDocumentSummaryNano.js","Restricted async operation ""setTimeout"""
"2026-03-29","GDC_Governance_2026","2","@lwc/lwc/no-inner-html",,"619","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/lwc/applicationDocumentSummaryNano/applicationDocumentSummaryNano.js","Using 'innerHTML/outputHTML/insertAdjacentHTML' is not allowed"
"2026-03-29","GDC_Governance_2026","2","@lwc/lwc/no-inner-html",,"620","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/lwc/applicationDocumentSummaryNano/applicationDocumentSummaryNano.js","Using 'innerHTML/outputHTML/insertAdjacentHTML' is not allowed"
"2026-03-29","GDC_Governance_2026","2","@lwc/lwc/no-dupe-class-members",,"246","/Users/vcorjuenkar/Desktop/GDC_Governance_2026/force-app/main/default/lwc/axisNanoApplicantCreditScore/axisNanoApplicantCreditScore.js","Duplicate name 'isShowModal'."
